                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.90636,                0.55216,                 1.4022,                 0.9853,                0.98761,                0.98881,                0.84029,                0.64976,                0.32688,                 1.1776,              0.0092476,              0.0092476,              0.0092476
                    116,                0.88521,                0.54661,                  1.403,                0.98524,                0.98782,                 0.9871,                0.84189,                0.64075,                 0.3152,                 1.1689,               0.009241,               0.009241,               0.009241
                    117,                0.89565,                0.53805,                 1.3804,                0.98548,                0.98485,                0.98801,                0.84118,                 0.6541,                0.33447,                 1.1822,              0.0092344,              0.0092344,              0.0092344
                    118,                0.88999,                0.54705,                 1.4304,                0.98757,                0.98674,                0.98789,                0.83376,                0.67038,                0.32835,                 1.1929,              0.0092278,              0.0092278,              0.0092278
                    119,                0.87673,                0.53077,                 1.3797,                0.98812,                0.98609,                0.98863,                0.84276,                0.65761,                0.32455,                 1.1853,              0.0092212,              0.0092212,              0.0092212
                    120,                0.87497,                0.58345,                 1.4017,                0.98673,                0.98794,                0.98876,                0.83837,                0.65036,                0.31254,                 1.1808,              0.0092146,              0.0092146,              0.0092146
                    121,                0.87996,                0.53983,                 1.3878,                0.97939,                0.97844,                0.98593,                0.83574,                0.64385,                0.34078,                  1.176,               0.009208,               0.009208,               0.009208
                    122,                0.88139,                0.53475,                 1.4092,                0.98449,                0.98784,                0.98869,                0.84871,                0.63873,                0.31481,                 1.1635,              0.0092014,              0.0092014,              0.0092014
                    123,                0.86842,                0.52838,                  1.381,                0.98796,                0.98612,                 0.9888,                0.84298,                0.62886,                0.30692,                 1.1603,              0.0091948,              0.0091948,              0.0091948
                    124,                 0.8758,                0.52431,                 1.3892,                0.98612,                 0.9865,                0.98867,                0.84106,                0.65252,                0.31848,                  1.182,              0.0091882,              0.0091882,              0.0091882
                    125,                0.85967,                0.53096,                 1.3824,                0.98787,                0.98932,                0.98846,                0.84736,                0.63642,                0.31724,                 1.1628,              0.0091816,              0.0091816,              0.0091816
                    126,                 0.8815,                0.52448,                 1.4066,                0.98734,                 0.9826,                0.98962,                0.84307,                0.64695,                0.31132,                 1.1751,               0.009175,               0.009175,               0.009175
                    127,                0.87355,                0.52308,                 1.4012,                0.98779,                0.98696,                0.98918,                0.83945,                0.64867,                0.31612,                 1.1782,              0.0091684,              0.0091684,              0.0091684
